n (cm-1),Assignments,Relative areas dependence of vibrational bands versus WO3 concentrations (x mol%)*,Relative areas dependence of vibrational bands versus WO3 concentrations (x mol%)*,Relative areas dependence of vibrational bands versus WO3 concentrations (x mol%)*,Relative areas dependence of vibrational bands versus WO3 concentrations (x mol%)*,Relative areas dependence of vibrational bands versus WO3 concentrations (x mol%)*,Relative areas dependence of vibrational bands versus WO3 concentrations (x mol%)*,Relative areas dependence of vibrational bands versus WO3 concentrations (x mol%)*,Relative areas dependence of vibrational bands versus WO3 concentrations (x mol%)*,Relative areas dependence of vibrational bands versus WO3 concentrations (x mol%)*
n (cm-1),Assignments,0*,0.5*,1*,3*,5*,10*,20*,30*,50*
682-690,POPsym stretch (Q 2),20.4,24.0,21.7,23.4,20.0,16.6,16.1,7.6,1.2
736-750,POPsym stretch (Q 1),9.5,7.2,6.9,8.2,6.6,9.4,10.6,19.5,12.0
810,W-O-W stretch,-,-,-,-,-,-,-,8.1,15.9
888-900,W-O stretch,-,-,0.2,1.0,1.4,1.5,1.7,5.6,10.2
950-956,W-O- stretch,-,-,0.4,1.7,2.4,3.9,5.1,10.0,14.4
972-985,(PO4)sym stretch (Q 0),2.8,3.2,3.5,5.2,5.7,8.9,6.1,11.1,14.7
990,WO stretch,-,-,-,-,-,-,1.6,3.4,3.5
1095-1100,(PO3)sym stretch (Q 1),17.2,16.0,17.2,19.6,17.0,16.7,16.4,13.3,12.8
1150-1155,(PO2)sym stretch (Q 2),18.2,17.3,17.6,10.6,17.2,13.5,14.5,4.7,2.8
1178-1187,'Strained' (PO2)sym,5.3,5.6,6.5,0.6,3.7,4.4,3.7,2.0,1.0
1240-1249,(PO2)asym stretch (Q 2),14.4,0.149,19.1,22.4,20.5,17.1,18.5,11.4,9.6
1280-1303,(PO)sym stretch,12.0,11.5,6.6,7.2,5.3,7.8,6.3,3.2,1.7
