Molar fraction batch,Molar fraction batch,N V (1021 V ions/g),N Cu (1021 Cu ions/g),C expt (emu K/g Oe),V5+/Vtotal,Molar fraction ICP and susceptibility,Molar fraction ICP and susceptibility,Molar fraction ICP and susceptibility,Molar fraction ICP and susceptibility,MWs (g/mol)
V2O5,CuO,N V (1021 V ions/g),N Cu (1021 Cu ions/g),C expt (emu K/g Oe),V5+/Vtotal,V2O5,V2O4,CuO,P2O5,MWs (g/mol)
0.6,-,4.356,-,7.354x10-4,0.75,0.442,0.148,-,0.410,163.18
,,,,,,,,,,
0.5,0.1,3.869,0.387,1.182x10-3,0.66,0.322,0.168,0.098,0.411,152.75
,,3.647,0.365,,0.63,0.290,0.170,0.092,0.448,151.87
,,,,,,,,,,
0.4,0.2,3.311,0.828,1.506x10-3,0.60,0.237,0.156,0.196,0.411,142.89
,,3.420,0.920,,0.64,0.261,0.143,0.217,0.379,142.24
,,,,,,,,,,
0.3,0.3,2.672,1.336,1.923x10-3,0.49,0.144,0.151,0.295,0.410,132.91
,,2.828,1.257,,0.48,0.153,0.162,0.281,0.403,134.45
