Transition,n,D exp,D calc,D exp - D calc,D calc/D exp
- 6H15/2,(cm-1),(10-6 Debye2),(10-6 Debye2),(10-6 Debye2),
6H11/2,5900,275,309,-34,1.12
"6H9/2,6F11/2",7830,1124,1123,+1,1.00
"6H7/2,6F9/2",9160,431,496,-65,1.15
"6H5/2,6F7/2",11 100,359,311,+48,0.87
6F5/2,12 460,164,124,+40,0.76
6F3/2,13 270,27,23,+4,0.85
4F9/2,21 080,28,11,+17,0.39
4I15/2,22 070,48,29,+19,0.60
4G11/2,23 430,18,8,+10,0.44
"4M21/2,4I13/2,4F7/2,4K17/2,4M19/2",25 890,147,128,+19,0.87
"4I11/2,6P5/2,6P3/2",27 450,130,88,+42,0.68
"4M15/2,6P7/2",28 610,262,210,+52,0.80
"4G9/2,4F5/2,4I9/2",29 590,12,10,+2,0.83
"4K15/2,4L19/2,6P3/2,4M17/2,4G7/2",30 880,109,50,+59,0.46
